bowler,total_runs_conceded,balls_bowled,overs,economy_rate
M Kartik,1418,1182,197.0,7.197969543147208
BMAJ Mendis,36,30,5.0,7.2
JJ Bumrah,3840,3185,530.8333333333334,7.233908948194662
CK Langeveldt,199,165,27.5,7.236363636363636
MF Maharoof,532,441,73.5,7.238095238095238
M Ntini,257,213,35.5,7.23943661971831
Ankit Sharma,453,375,62.5,7.248
JP Duminy,847,701,116.83333333333333,7.249643366619116
KP Pietersen,218,180,30.0,7.266666666666667
KH Pandya,2644,2183,363.8333333333333,7.267063673843335
AR Patel,3824,3152,525.3333333333334,7.279187817258883
RR Powar,538,443,73.83333333333333,7.286681715575622
Tilak Varma,28,23,3.8333333333333335,7.304347826086956
A Mishra,4193,3444,574.0,7.304878048780488
YK Pathan,1443,1184,197.33333333333334,7.3125
SK Raina,1139,930,155.0,7.348387096774194
JC Archer,1210,987,164.5,7.355623100303951
M Pathirana,617,503,83.83333333333333,7.359840954274354
CRD Fernando,306,249,41.5,7.373493975903615
B Lee,1126,916,152.66666666666666,7.3755458515283845
Shakib Al Hasan,1864,1515,252.5,7.3821782178217825
PP Ojha,2399,1945,324.1666666666667,7.40051413881748
BAW Mendis,306,248,41.333333333333336,7.403225806451612
JM Kemp,58,47,7.833333333333333,7.404255319148937
Yuvraj Singh,1091,882,147.0,7.421768707482993
S Randiv,223,180,30.0,7.433333333333334
R Bhatia,2059,1661,276.8333333333333,7.437688139674895
M Siddharth,72,58,9.666666666666666,7.448275862068966
B Kumar,5051,4060,676.6666666666666,7.464532019704434
S Nadeem,1800,1444,240.66666666666666,7.4792243767313025
SK Trivedi,1944,1557,259.5,7.491329479768786
STR Binny,763,611,101.83333333333333,7.4926350245499185
JE Root,15,12,2.0,7.5
Monu Kumar,20,16,2.6666666666666665,7.5
C Munro,15,12,2.0,7.5
SW Tait,668,534,89.0,7.50561797752809
S Badree,329,263,43.833333333333336,7.505703422053232
SB Styris,278,222,37.0,7.513513513513513
DJ Willey,277,221,36.833333333333336,7.520361990950226
MM Patel,1733,1382,230.33333333333334,7.523878437047757
RJ Harris,1085,865,144.16666666666666,7.526011560693642
Washington Sundar,1335,1064,177.33333333333334,7.5281954887218046
GB Hogg,585,466,77.66666666666667,7.532188841201716
Z Khan,2860,2276,379.3333333333333,7.539543057996485
M Morkel,2136,1699,283.1666666666667,7.543260741612713
CV Varun,2042,1624,270.6666666666667,7.544334975369457
Mohammad Nabi,527,419,69.83333333333333,7.5465393794749405
NM Coulter-Nile,1125,892,148.66666666666666,7.567264573991032
RA Jadeja,4917,3895,649.1666666666666,7.5743260590500645
WPUJC Vaas,364,288,48.0,7.583333333333333
VS Malik,268,212,35.333333333333336,7.584905660377358
P Kumar,3342,2637,439.5,7.604095563139932
Anand Rajan,206,162,27.0,7.62962962962963
AC Thomas,416,327,54.5,7.63302752293578
AL Menaria,144,113,18.833333333333332,7.646017699115045
BW Hilfenhaus,497,390,65.0,7.6461538461538465
B Akhil,246,193,32.166666666666664,7.647668393782384
Ravi Bishnoi,1861,1460,243.33333333333334,7.647945205479452
RD Chahar,2165,1697,282.8333333333333,7.65468473777254
WD Parnell,968,758,126.33333333333333,7.6622691292875995
DJM Short,23,18,3.0,7.666666666666667
DAJ Bracewell,32,25,4.166666666666667,7.68
Azhar Mahmood,707,552,92.0,7.684782608695652
Shahid Afridi,237,185,30.833333333333332,7.686486486486487
KR Mayers,59,46,7.666666666666667,7.695652173913043
IK Pathan,2711,2113,352.1666666666667,7.698059630856601
SR Watson,2742,2137,356.1666666666667,7.698642957416939
DL Chahar,2243,1746,291.0,7.707903780068729
Sandeep Sharma,3758,2925,487.5,7.708717948717949
PV Tambe,866,674,112.33333333333333,7.70919881305638
A Symonds,694,540,90.0,7.711111111111111
A Nehra,2537,1974,329.0,7.711246200607903
DJ Muthuswami,108,84,14.0,7.714285714285714
DP Vijaykumar,205,159,26.5,7.735849056603773
S Sreesanth,1221,947,157.83333333333334,7.736008447729672
RP Singh,2417,1874,312.3333333333333,7.738527214514408
R Tewatia,1117,866,144.33333333333334,7.739030023094688
M Theekshana,814,631,105.16666666666667,7.740095087163232
YS Chahal,4681,3628,604.6666666666666,7.741455347298787
Imran Tahir,1729,1340,223.33333333333334,7.741791044776119
GD Phillips,40,31,5.166666666666667,7.741935483870967
CH Gayle,755,584,97.33333333333333,7.756849315068494
Umar Gul,198,153,25.5,7.764705882352941
Ankit Soni,145,112,18.666666666666668,7.767857142857142
IC Pandey,609,469,78.16666666666667,7.791044776119403
MN Samuels,285,219,36.5,7.808219178082192
Harmeet Singh,747,574,95.66666666666667,7.808362369337979
P Negi,954,733,122.16666666666667,7.80900409276944
D du Preez,56,43,7.166666666666667,7.813953488372093
SM Boland,56,43,7.166666666666667,7.813953488372093
BJ Hodge,310,238,39.666666666666664,7.815126050420169
TL Suman,198,152,25.333333333333332,7.815789473684211
JD Ryder,314,241,40.166666666666664,7.817427385892117
SE Rutherford,60,46,7.666666666666667,7.826086956521739
JH Kallis,2348,1799,299.8333333333333,7.8310172317954425
WA Mota,98,75,12.5,7.84
Noor Ahmad,672,513,85.5,7.859649122807017
Harpreet Brar,907,692,115.33333333333333,7.864161849710983
KP Appanna,291,222,37.0,7.864864864864865
AM Salvi,205,156,26.0,7.884615384615385
A Singh,639,486,81.0,7.888888888888889
KK Cooper,789,600,100.0,7.89
ST Jayasuriya,396,301,50.166666666666664,7.893687707641196
Shashank Singh,25,19,3.1666666666666665,7.894736842105264
M Ashwin,1182,898,149.66666666666666,7.8975501113585755
CH Morris,2377,1801,300.1666666666667,7.91893392559689
DT Christian,1218,922,153.66666666666666,7.926247288503254
SC Ganguly,370,280,46.666666666666664,7.928571428571429
A Zampa,562,425,70.83333333333333,7.934117647058824
Mujeeb Ur Rahman,598,452,75.33333333333333,7.938053097345133
L Balaji,2083,1574,262.3333333333333,7.940279542566709
J Theron,311,235,39.166666666666664,7.940425531914894
AB Dinda,2103,1589,264.8333333333333,7.940843297671492
RG Sharma,462,349,58.166666666666664,7.9426934097421205
M Vijay,49,37,6.166666666666667,7.945945945945946
Mustafizur Rahman,1792,1353,225.5,7.946784922394679
C Sakariya,610,460,76.66666666666667,7.956521739130435
KMA Paul,239,180,30.0,7.966666666666667
AA Chavan,339,255,42.5,7.976470588235294
PP Chawla,5179,3895,649.1666666666666,7.977920410783056
MC Henriques,1302,979,163.16666666666666,7.9795709908069465
R Dhawan,922,693,115.5,7.982683982683983
Bipul Sharma,581,436,72.66666666666667,7.9954128440366965
JA Morkel,2409,1807,301.1666666666667,7.998893193137797
B Stanlake,200,150,25.0,8.0
SA Yadav,8,6,1.0,8.0
RS Gavaskar,8,6,1.0,8.0
M Shahrukh Khan,16,12,2.0,8.0
A Choudhary,144,108,18.0,8.0
V Shankar,344,258,43.0,8.0
JR Hazlewood,830,622,103.66666666666667,8.006430868167202
MA Starc,1175,879,146.5,8.020477815699659
MG Johnson,1740,1301,216.83333333333334,8.024596464258263
TM Dilshan,368,275,45.833333333333336,8.02909090909091
SB Jakati,1474,1101,183.5,8.032697547683924
DS Kulkarni,2513,1876,312.6666666666667,8.03731343283582
I Sharma,3255,2429,404.8333333333333,8.04034582132565
RV Gomez,130,97,16.166666666666668,8.041237113402062
S Aravind,1057,788,131.33333333333334,8.048223350253807
L Ngidi,460,342,57.0,8.070175438596491
AS Roy,191,142,23.666666666666668,8.070422535211268
DJ Bravo,4436,3296,549.3333333333334,8.075242718446601
BA Bhatt,408,303,50.5,8.07920792079208
O Thomas,85,63,10.5,8.095238095238095
Kuldeep Yadav,2413,1786,297.6666666666667,8.106382978723405
MK Lomror,127,94,15.666666666666666,8.106382978723405
SS Cottrell,177,131,21.833333333333332,8.106870229007635
P Awana,1046,774,129.0,8.108527131782946
AM Nayar,323,239,39.833333333333336,8.10878661087866
PC Valthaty,207,153,25.5,8.117647058823529
TA Boult,3286,2428,404.6666666666667,8.120263591433279
MR Marsh,803,593,98.83333333333333,8.1247892074199
PM Sarvesh Kumar,42,31,5.166666666666667,8.129032258064516
R Sai Kishore,259,191,31.833333333333332,8.136125654450263
AD Mathews,1095,807,134.5,8.141263940520446
AC Voges,76,56,9.333333333333334,8.142857142857142
DR Sams,528,389,64.83333333333333,8.143958868894602
S Gopal,1358,1000,166.66666666666666,8.148
P Dubey,91,67,11.166666666666666,8.149253731343284
GJ Maxwell,1311,965,160.83333333333334,8.151295336787564
SS Sarkar,34,25,4.166666666666667,8.16
PWH de Silva,758,557,92.83333333333333,8.165170556552964
SB Wagh,147,108,18.0,8.166666666666666
Parvez Rasool,273,200,33.333333333333336,8.19
MJ McClenaghan,1839,1346,224.33333333333334,8.197622585438335
N Rana,253,185,30.833333333333332,8.205405405405406
JE Taylor,167,122,20.333333333333332,8.213114754098362
Simarjeet Singh,265,193,32.166666666666664,8.238341968911918
Mohsin Khan,698,507,84.5,8.2603550295858
K Gowtham,825,599,99.83333333333333,8.263772954924875
S Tyagi,304,220,36.666666666666664,8.290909090909091
Mohammed Shami,3486,2521,420.1666666666667,8.296707655692185
K Kartikeya,334,241,40.166666666666664,8.315352697095436
ND Doshi,79,57,9.5,8.31578947368421
KA Pollard,2200,1586,264.3333333333333,8.32282471626734
KW Richardson,479,345,57.5,8.330434782608696
K Rabada,2652,1907,317.8333333333333,8.34399580492921
Mohammed Siraj,2894,2081,346.8333333333333,8.34406535319558
R Vinay Kumar,3041,2186,364.3333333333333,8.346752058554438
J Suchith,604,434,72.33333333333333,8.350230414746544
UT Yadav,4442,3190,531.6666666666666,8.354858934169279
DJ Hooda,535,384,64.0,8.359375
Shivam Mavi,958,687,114.5,8.366812227074236
RS Hangargekar,60,43,7.166666666666667,8.372093023255813
AB McDonald,263,188,31.333333333333332,8.393617021276595
PJ Sangwan,1267,905,150.83333333333334,8.4
YA Abdulla,311,222,37.0,8.405405405405405
Kamran Khan,248,177,29.5,8.40677966101695
KV Sharma,2130,1520,253.33333333333334,8.407894736842104
GHS Garton,136,97,16.166666666666668,8.412371134020617
K Goel,94,67,11.166666666666666,8.417910447761194
C de Grandhomme,323,230,38.333333333333336,8.426086956521738
LR Shukla,458,326,54.333333333333336,8.429447852760736
V Kohli,371,264,44.0,8.431818181818182
SSB Magala,52,37,6.166666666666667,8.432432432432432
TG Southee,1774,1262,210.33333333333334,8.434231378763867
AK Markram,173,123,20.5,8.439024390243903
AJ Tye,1005,714,119.0,8.445378151260504
S Lamichhane,297,211,35.166666666666664,8.445497630331754
HV Patel,3215,2284,380.6666666666667,8.44570928196147
NT Ellis,514,365,60.833333333333336,8.449315068493151
Arjun Tendulkar,117,83,13.833333333333334,8.457831325301205
RJ Gleeson,72,51,8.5,8.470588235294118
CJ Green,24,17,2.8333333333333335,8.470588235294118
RS Bopara,301,213,35.5,8.47887323943662
Fazalhaq Farooqi,229,162,27.0,8.481481481481481
HF Gurney,239,169,28.166666666666668,8.485207100591715
M Prasidh Krishna,1741,1231,205.16666666666666,8.48578391551584
BA Stokes,1023,723,120.5,8.489626556016598
R Goyal,34,24,4.0,8.5
OC McCoy,255,180,30.0,8.5
Navdeep Saini,968,682,113.66666666666667,8.516129032258064
JO Holder,1489,1049,174.83333333333334,8.516682554814109
SC Kuggeleijn,71,50,8.333333333333334,8.52
MM Sharma,3278,2308,384.6666666666667,8.52166377816291
P Sahu,152,107,17.833333333333332,8.52336448598131
P Parameswaran,226,159,26.5,8.528301886792454
V Pratap Singh,300,211,35.166666666666664,8.530805687203792
Ramandeep Singh,64,45,7.5,8.533333333333333
AN Ahmed,515,362,60.333333333333336,8.535911602209945
VY Mahesh,511,359,59.833333333333336,8.540389972144846
MS Gony,1317,925,154.16666666666666,8.542702702702703
Abhishek Sharma,396,278,46.333333333333336,8.546762589928058
KK Ahmed,1918,1345,224.16666666666666,8.556133828996282
T Natarajan,2001,1401,233.5,8.569593147751606
CJ McKay,60,42,7.0,8.571428571428571
VG Arora,598,418,69.66666666666667,8.583732057416267
S Kaul,1772,1238,206.33333333333334,8.588045234248789
AB Agarkar,1174,820,136.66666666666666,8.590243902439026
VR Aaron,1527,1065,177.5,8.60281690140845
JP Faulkner,1849,1287,214.5,8.62004662004662
P Suyal,154,107,17.833333333333332,8.63551401869159
MG Bracewell,95,66,11.0,8.636363636363637
NLTC Perera,1031,715,119.16666666666667,8.651748251748252
PJ Cummins,1976,1370,228.33333333333334,8.654014598540146
Suyash Sharma,381,264,44.0,8.659090909090908
Arshdeep Singh,2097,1453,242.16666666666666,8.659325533379215
CR Brathwaite,384,266,44.333333333333336,8.661654135338345
SB Bangar,221,153,25.5,8.666666666666666
DJ Harris,26,18,3.0,8.666666666666666
J Little,341,236,39.333333333333336,8.669491525423728
JL Pattinson,321,222,37.0,8.675675675675675
Avesh Khan,2010,1390,231.66666666666666,8.676258992805757
K Upadhyay,81,56,9.333333333333334,8.678571428571429
Shivam Sharma,165,114,19.0,8.68421052631579
N Burger,152,105,17.5,8.685714285714285
S Kaushik,304,210,35.0,8.685714285714285
LH Ferguson,1451,1002,167.0,8.688622754491018
DNT Zoysa,100,69,11.5,8.695652173913043
DJG Sammy,354,244,40.666666666666664,8.704918032786885
SJ Srivastava,444,306,51.0,8.705882352941176
JEC Franklin,225,155,25.833333333333332,8.70967741935484
CR Woakes,674,463,77.16666666666667,8.734341252699783
D Wiese,447,307,51.166666666666664,8.736156351791532
D Pretorius,242,166,27.666666666666668,8.74698795180723
RJ Peterson,70,48,8.0,8.75
J Syed Mohammad,286,196,32.666666666666664,8.755102040816327
S Sandeep Warrier,257,176,29.333333333333332,8.761363636363637
Swapnil Singh,241,165,27.5,8.763636363636364
C Green,675,462,77.0,8.766233766233766
Lalit Yadav,430,294,49.0,8.775510204081632
Harshit Rana,590,403,67.16666666666667,8.784119106699752
M Markande,1081,737,122.83333333333333,8.800542740841248
JD Unadkat,3219,2194,365.6666666666667,8.803099361896079
S Dhawan,72,49,8.166666666666666,8.816326530612246
SN Thakur,2908,1979,329.8333333333333,8.816574027286508
A Nortje,1614,1097,182.83333333333334,8.82771194165907
M de Lange,171,116,19.333333333333332,8.844827586206897
AA Jhunjhunwala,130,88,14.666666666666666,8.863636363636363
HH Pandya,2196,1485,247.5,8.872727272727273
Anureet Singh,636,430,71.66666666666667,8.874418604651162
Naveen-ul-Haq,602,407,67.83333333333333,8.874692874692876
LS Livingstone,395,267,44.5,8.876404494382022
VRV Singh,549,371,61.833333333333336,8.878706199460916
A Badoni,37,25,4.166666666666667,8.879999999999999
LE Plunkett,228,154,25.666666666666668,8.883116883116882
Azmatullah Omarzai,194,131,21.833333333333332,8.885496183206108
DR Smith,825,557,92.83333333333333,8.88689407540395
A Ashish Reddy,400,270,45.0,8.88888888888889
JDP Oram,362,244,40.666666666666664,8.901639344262296
JP Behrendorff,563,379,63.166666666666664,8.91292875989446
Mayank Dagar,205,138,23.0,8.91304347826087
RR Raje,214,144,24.0,8.916666666666666
BB Sran,767,516,86.0,8.918604651162791
PVD Chameera,442,297,49.5,8.929292929292929
AS Rajpoot,844,567,94.5,8.931216931216932
SB Joshi,82,55,9.166666666666666,8.945454545454545
BCJ Cutting,430,288,48.0,8.958333333333334
FA Allen,136,91,15.166666666666666,8.967032967032967
Shoaib Ahmed,154,103,17.166666666666668,8.970873786407767
RP Meredith,621,415,69.16666666666667,8.978313253012047
Shoaib Malik,87,58,9.666666666666666,9.0
V Viyaskanth,90,60,10.0,9.0
AS Raut,45,30,5.0,9.0
Jalaj S Saxena,27,18,3.0,9.0
V Kaverappa,36,24,4.0,9.0
R McLaren,558,372,62.0,9.0
DJ Hussey,485,323,53.833333333333336,9.009287925696594
HR Shokeen,320,213,35.5,9.014084507042254
M Jansen,732,487,81.16666666666667,9.018480492813142
N Thushara,259,172,28.666666666666668,9.034883720930232
MA Wood,192,127,21.166666666666668,9.070866141732283
Umran Malik,785,519,86.5,9.07514450867052
KA Jamieson,271,179,29.833333333333332,9.083798882681565
Karanveer Singh,323,213,35.5,9.098591549295774
AU Rashid,91,60,10.0,9.1
Mukesh Choudhary,452,298,49.666666666666664,9.100671140939598
Yash Dayal,933,615,102.5,9.102439024390243
Pankaj Singh,472,311,51.833333333333336,9.106109324758842
AD Russell,2691,1771,295.1666666666667,9.116883116883116
BE Hendricks,239,157,26.166666666666668,9.13375796178344
Y Venugopal Rao,338,222,37.0,9.135135135135135
AJ Finch,67,44,7.333333333333333,9.136363636363637
JR Hopes,562,369,61.5,9.138211382113822
A Mithun,477,312,52.0,9.173076923076923
TU Deshpande,1275,831,138.5,9.205776173285198
AUK Pathan,63,41,6.833333333333333,9.219512195121952
KAJ Roach,80,52,8.666666666666666,9.230769230769232
JDS Neesham,342,222,37.0,9.243243243243244
T Shamsi,185,120,20.0,9.25
Mohammad Asif,307,199,33.166666666666664,9.256281407035177
Akash Madhwal,431,279,46.5,9.268817204301076
Joginder Sharma,421,272,45.333333333333336,9.286764705882353
Shahbaz Ahmed,850,549,91.5,9.289617486338798
CJ Jordan,1111,717,119.5,9.297071129707113
KL Nagarkoti,287,185,30.833333333333332,9.308108108108108
KR Sen,396,255,42.5,9.31764705882353
DB Ravi Teja,28,18,3.0,9.333333333333334
AS Joseph,707,454,75.66666666666667,9.343612334801762
KC Cariappa,349,224,37.333333333333336,9.348214285714285
SM Curran,1924,1234,205.66666666666666,9.354943273905997
AP Dole,114,73,12.166666666666666,9.36986301369863
AF Milne,339,217,36.166666666666664,9.373271889400922
MP Stoinis,1300,831,138.5,9.386281588447654
SH Johnson,155,99,16.5,9.393939393939394
Jaskaran Singh,174,111,18.5,9.405405405405405
GC Viljoen,229,146,24.333333333333332,9.41095890410959
D Salunkhe,80,51,8.5,9.411764705882353
Tejas Baroka,33,21,3.5,9.428571428571429
I Udana,286,182,30.333333333333332,9.428571428571429
Kartik Tyagi,720,458,76.33333333333333,9.43231441048035
K Yadav,85,54,9.0,9.444444444444445
B Laughlin,284,179,29.833333333333332,9.5195530726257
SR Tendulkar,59,37,6.166666666666667,9.567567567567567
S Ladda,225,141,23.5,9.574468085106384
Basil Thampi,862,539,89.83333333333333,9.595547309833025
TS Mills,349,218,36.333333333333336,9.605504587155963
A Flintoff,106,66,11.0,9.636363636363637
Akash Singh,227,141,23.5,9.659574468085106
IC Porel,42,26,4.333333333333333,9.692307692307693
AA Kazi,21,13,2.1666666666666665,9.692307692307693
R Sathish,233,144,24.0,9.708333333333334
KM Asif,232,143,23.833333333333332,9.734265734265735
S Dube,190,117,19.5,9.743589743589743
Yash Thakur,702,432,72.0,9.75
Vijaykumar Vyshak,396,243,40.5,9.777777777777779
SD Chitnis,62,38,6.333333333333333,9.789473684210527
AA Noffke,41,25,4.166666666666667,9.84
R Sanjay Yadav,23,14,2.3333333333333335,9.857142857142856
Rasikh Salam,341,207,34.5,9.884057971014492
G Coetzee,357,216,36.0,9.916666666666666
Sikandar Raza,146,88,14.666666666666666,9.954545454545455
FY Fazal,20,12,2.0,10.0
LJ Wright,125,75,12.5,10.0
R Powell,35,21,3.5,10.0
CJ Anderson,525,315,52.5,10.0
R Shukla,217,130,21.666666666666668,10.015384615384615
Mukesh Kumar,707,420,70.0,10.1
LI Meriwala,32,19,3.1666666666666665,10.105263157894738
DG Nalkande,150,89,14.833333333333334,10.112359550561797
L Ablish,76,45,7.5,10.133333333333333
Yudhvir Singh,125,74,12.333333333333334,10.135135135135135
Gagandeep Singh,142,84,14.0,10.142857142857142
A Kamboj,115,68,11.333333333333334,10.147058823529411
S Vidyut,22,13,2.1666666666666665,10.153846153846155
R Parag,307,181,30.166666666666668,10.176795580110497
S Joseph,51,30,5.0,10.2
RJW Topley,182,107,17.833333333333332,10.205607476635514
RG More,63,37,6.166666666666667,10.216216216216216
AJ Hosein,41,24,4.0,10.25
V Sehwag,236,138,23.0,10.26086956521739
K Khejroliya,221,129,21.5,10.279069767441861
BJ Rohrer,12,7,1.1666666666666667,10.285714285714285
TK Curran,432,252,42.0,10.285714285714286
A Nel,31,18,3.0,10.333333333333334
KS Williamson,31,18,3.0,10.333333333333334
JA Richardson,162,94,15.666666666666666,10.340425531914894
VR Iyer,145,84,14.0,10.357142857142858
SZ Mulani,57,33,5.5,10.363636363636363
Y Prithvi Raj,57,33,5.5,10.363636363636363
Sumit Kumar,38,22,3.6666666666666665,10.363636363636363
MA Khote,52,30,5.0,10.4
Y Nagar,125,72,12.0,10.416666666666666
MB Parmar,33,19,3.1666666666666665,10.421052631578949
MJ Henry,183,105,17.5,10.457142857142857
SS Agarwal,42,24,4.0,10.5
D Kalyankrishna,88,50,8.333333333333334,10.559999999999999
Vivrant Sharma,37,21,3.5,10.571428571428571
LB Williams,74,42,7.0,10.571428571428571
SA Abbott,104,59,9.833333333333334,10.576271186440678
Nithish Kumar Reddy,208,118,19.666666666666668,10.576271186440678
JJ van der Wath,134,76,12.666666666666666,10.578947368421053
A Uniyal,67,38,6.333333333333333,10.578947368421053
K Santokie,91,51,8.5,10.705882352941176
KJ Abbott,182,102,17.0,10.705882352941176
CJ Dala,34,19,3.1666666666666665,10.736842105263158
GS Sandhu,86,48,8.0,10.75
S Narwal,203,113,18.833333333333332,10.778761061946904
R Ninan,65,36,6.0,10.833333333333334
WG Jacks,100,55,9.166666666666666,10.90909090909091
P Amarnath,241,132,22.0,10.954545454545455
RA Shaikh,11,6,1.0,11.0
RW Price,33,18,3.0,11.0
Arshad Khan,282,153,25.5,11.058823529411764
MK Tiwary,83,45,7.5,11.066666666666666
LRPL Taylor,24,13,2.1666666666666665,11.076923076923078
TP Sudhindra,137,74,12.333333333333334,11.108108108108107
Akash Deep,324,175,29.166666666666668,11.108571428571429
B Geeves,91,49,8.166666666666666,11.142857142857144
CL White,86,46,7.666666666666667,11.217391304347826
A Dananjaya,47,25,4.166666666666667,11.28
OF Smith,179,95,15.833333333333334,11.305263157894736
LMP Simmons,34,18,3.0,11.333333333333334
D Jansen,53,28,4.666666666666667,11.357142857142856
Naman Dhir,55,29,4.833333333333333,11.379310344827587
DJ Mitchell,97,51,8.5,11.411764705882353
VS Yeligati,61,32,5.333333333333333,11.4375
Arshad Khan (2),25,13,2.1666666666666665,11.53846153846154
TM Head,113,58,9.666666666666666,11.689655172413794
R Shepherd,260,133,22.166666666666668,11.729323308270676
JPR Scantlebury-Searles,89,45,7.5,11.866666666666667
Gurnoor Brar,42,21,3.5,12.0
RR Bose,24,12,2.0,12.0
Gulbadin Naib,12,6,1.0,12.0
RA Tripathi,12,6,1.0,12.0
Abdul Samad,113,55,9.166666666666666,12.327272727272728
H Sharma,62,30,5.0,12.4
Abdur Razzak,29,14,2.3333333333333335,12.428571428571427
Mashrafe Mortaza,59,28,4.666666666666667,12.642857142857142
Mandeep Singh,26,12,2.0,13.0
C Ganapathy,13,6,1.0,13.0
MJ Suthar,26,12,2.0,13.0
Aman Hakim Khan,13,6,1.0,13.0
S Midhun,29,13,2.1666666666666665,13.384615384615385
KT Maphaka,90,39,6.5,13.846153846153847
P Ray Barman,56,24,4.0,14.0
NA Saini,35,15,2.5,14.0
Mohit Rathee,29,12,2.0,14.5
L Wood,94,38,6.333333333333333,14.842105263157896
Sunny Gupta,47,19,3.1666666666666665,14.842105263157896
MG Neser,62,25,4.166666666666667,14.879999999999999
SPD Smith,5,2,0.3333333333333333,15.0
F du Plessis,16,6,1.0,16.0
D Brevis,8,3,0.5,16.0
S Sriram,49,18,3.0,16.333333333333332
CK Kapugedera,49,17,2.8333333333333335,17.294117647058822
RR Bhatkal,35,12,2.0,17.5
P Prasanth,18,6,1.0,18.0
SN Khan,6,2,0.3333333333333333,18.0
B Chipli,20,6,1.0,20.0
LPC Silva,21,6,1.0,21.0
I Malhotra,23,6,1.0,23.0
Atharva Taide,4,1,0.16666666666666666,24.0
YBK Jaiswal,6,1,0.16666666666666666,36.0
